"Label","Location","Function Signature","Function Size"
"luaL_checkany","141a17290","thunk undefined luaL_checkany()","5"
"luaL_checkinteger","14c9a6db0","undefined luaL_checkinteger()","80"
"luaL_checkinteger","141a172d0","thunk undefined luaL_checkinteger()","5"
"luaL_checklstring","14c9a72e0","undefined luaL_checklstring()","130"
"luaL_checklstring","141a17320","thunk undefined luaL_checklstring()","5"
"luaL_checknumber","14c9a7490","undefined luaL_checknumber()","84"
"luaL_checknumber","141a173b0","thunk undefined luaL_checknumber()","5"
"luaL_checkoption","14c9a7600","undefined luaL_checkoption()","192"
"luaL_checkoption","141a17410","thunk undefined luaL_checkoption()","5"
"luaL_checkstack","14c9a7ab0","undefined luaL_checkstack()","54"
"luaL_checkstack","141a174d0","thunk undefined luaL_checkstack()","5"
"luaL_checktype","14c9a8030","undefined luaL_checktype()","61"
"luaL_checktype","141a17510","thunk undefined luaL_checktype()","5"
"luaL_checkudata","14c9a8430","undefined luaL_checkudata()","187"
"luaL_checkudata","141a17550","thunk undefined luaL_checkudata()","5"
"luaL_error","14c9a8870","undefined luaL_error()","83"
"luaL_error","141a17610","thunk undefined luaL_error()","5"
"luaL_findtable","14c9a8a20","undefined luaL_findtable()","307"
"luaL_findtable","141a17670","thunk undefined luaL_findtable()","5"
"luaL_getmetafield","14c9a9020","undefined luaL_getmetafield()","117"
"luaL_getmetafield","141a177a0","thunk undefined luaL_getmetafield()","5"
"luaL_gsub","141a17820","undefined luaL_gsub()","1104"
"luaL_loadbuffer","14c9a98c0","undefined luaL_loadbuffer()","36"
"luaL_loadbuffer","141a17c70","thunk undefined luaL_loadbuffer()","5"
"luaL_loadfile","141a17ca0","undefined luaL_loadfile()","528"
"luaL_newmetatable","14c9a9f50","undefined luaL_newmetatable()","126"
